Date,Adj Close_HONDAPOWER.NS,Close_HONDAPOWER.NS,High_HONDAPOWER.NS,Low_HONDAPOWER.NS,Open_HONDAPOWER.NS,Volume_HONDAPOWER.NS,Date
2024-04-08,2498.07861328125,2521.64990234375,2578.89990234375,2434.10009765625,2508.0,71851,2024-04-08
2024-04-15,2400.30126953125,2422.949951171875,2482.60009765625,2384.050048828125,2411.0,25698,2024-04-15
2024-04-22,2451.12158203125,2474.25,2519.0,2416.0,2450.0,26059,2024-04-22
2024-04-29,2355.771240234375,2378.0,2489.199951171875,2369.949951171875,2477.25,16388,2024-04-29
2024-05-06,2377.2685546875,2399.699951171875,2425.0,2311.5,2389.89990234375,29084,2024-05-06
2024-05-13,2844.460205078125,2871.300048828125,2918.39990234375,2340.550048828125,2399.699951171875,418448,2024-05-13
2024-05-20,2526.90673828125,2550.75,2834.10009765625,2515.10009765625,2834.10009765625,183526,2024-05-20
2024-05-27,2644.348388671875,2669.300048828125,2685.10009765625,2488.199951171875,2549.050048828125,91902,2024-05-27
2024-06-03,2549.096923828125,2573.14990234375,2707.10009765625,2366.050048828125,2707.10009765625,40685,2024-06-03
2024-06-10,3316.951904296875,3348.25,3474.949951171875,2550.050048828125,2624.64990234375,508180,2024-06-10
2024-06-17,3779.63623046875,3815.300048828125,4006.0,3271.14990234375,3348.25,318259,2024-06-17
2024-06-24,3701.225830078125,3736.14990234375,3889.89990234375,3585.550048828125,3750.0,56016,2024-06-24
2024-07-01,4119.826171875,4158.7001953125,4245.0,3698.800048828125,3737.0,148036,2024-07-01
2024-07-08,4015.213134765625,4053.10009765625,4200.0,3962.35009765625,4179.9501953125,76366,2024-07-08
2024-07-15,3928.58056640625,3965.64990234375,4204.5498046875,3924.0,4090.0,57644,2024-07-15
2024-07-22,3956.269287109375,3993.60009765625,4215.0,3811.550048828125,3900.64990234375,75135,2024-07-22
2024-07-29,4003.572998046875,4041.35009765625,4095.949951171875,3921.0,3993.60009765625,32650,2024-07-29
2024-08-05,3865.1787109375,3901.64990234375,4141.75,3780.0,4030.89990234375,89672,2024-08-05
2024-08-12,3618.060791015625,3652.199951171875,3955.199951171875,3570.550048828125,3909.35009765625,22416,2024-08-12
2024-08-19,3642.826904296875,3677.199951171875,3748.0,3597.550048828125,3688.35009765625,18305,2024-08-19
2024-08-26,3809.949951171875,3845.89990234375,4230.0,3604.35009765625,3728.300048828125,802796,2024-08-26
2024-09-02,3657.970947265625,3674.85009765625,3949.0,3627.550048828125,3843.64990234375,109094,2024-09-02
2024-09-09,3667.725830078125,3684.64990234375,3752.0,3525.0,3670.0,49304,2024-09-09
2024-09-16,3845.65478515625,3863.39990234375,3898.0,3660.050048828125,3735.0,40829,2024-09-16
2024-09-23,4021.14501953125,4039.699951171875,4150.0,3792.5,3910.300048828125,73946,2024-09-23
2024-09-30,4011.838134765625,4030.35009765625,4227.75,3836.14990234375,4029.0,84850,2024-09-30
2024-10-07,4135.11962890625,4154.2001953125,4500.0,3868.5,4046.449951171875,115555,2024-10-07
2024-10-14,4056.78076171875,4075.5,4178.75,3826.300048828125,4160.0,53089,2024-10-14
2024-10-21,3602.576416015625,3619.199951171875,4093.0,3600.0,4083.0,33226,2024-10-21
2024-10-28,3787.323974609375,3804.800048828125,3999.89990234375,3555.050048828125,3555.050048828125,18971,2024-10-28
2024-11-04,3688.08203125,3705.10009765625,3809.75,3680.0,3804.800048828125,13938,2024-11-04
2024-11-11,3438.334228515625,3454.199951171875,3694.35009765625,3365.35009765625,3691.050048828125,16318,2024-11-11
2024-11-18,2968.452392578125,2982.14990234375,3371.0,2891.800048828125,3200.050048828125,65863,2024-11-18
2024-11-25,3174.551513671875,3189.199951171875,3225.0,3000.0,3022.800048828125,33695,2024-11-25
2024-12-02,3142.8974609375,3157.39990234375,3319.0,3125.199951171875,3189.199951171875,36977,2024-12-02
2024-12-09,3094.12255859375,3108.39990234375,3260.0,3055.0,3188.949951171875,25845,2024-12-09
2024-12-16,2902.357666015625,2915.75,3148.5,2903.949951171875,3115.0,14952,2024-12-16
2024-12-23,2868.911865234375,2882.14990234375,3010.0,2851.550048828125,2955.449951171875,24168,2024-12-23
2024-12-30,2842.981689453125,2856.10009765625,2945.949951171875,2811.199951171875,2896.25,23168,2024-12-30
2025-01-06,2611.59912109375,2623.64990234375,2875.85009765625,2605.10009765625,2875.800048828125,27246,2025-01-06
2025-01-13,2633.299072265625,2645.449951171875,2694.0,2500.0,2624.949951171875,18516,2025-01-13
2025-01-20,2450.243896484375,2461.550048828125,2724.0,2442.39990234375,2552.0,18420,2025-01-20
2025-01-27,2461.442138671875,2472.800048828125,2611.0,2305.0,2461.550048828125,30084,2025-01-27
2025-02-03,2456.763671875,2468.10009765625,2590.0,2414.64990234375,2471.10009765625,25009,2025-02-03
2025-02-10,2162.96923828125,2172.949951171875,2497.85009765625,2129.949951171875,2461.10009765625,35069,2025-02-10
2025-02-17,2119.619384765625,2129.39990234375,2219.949951171875,1900.0,2183.85009765625,31149,2025-02-17
